addr,ip,life,port,speed,timeout,update,ip_port
吉林四平,122.142.234.141,1天,8118,2.153秒,0.43秒,18-08-16 12:41,122.142.234.141:8118
,118.31.223.194,21天,3128,0.137秒,0.027秒,18-08-16 12:40,118.31.223.194:3128
北京,124.193.37.5,147天,8888,0.025秒,0.005秒,18-08-16 12:40,124.193.37.5:8888
辽宁沈阳,218.60.8.98,61天,3129,0.09秒,0.018秒,18-08-16 12:40,218.60.8.98:3129
,101.37.79.125,371天,3128,0.356秒,0.071秒,18-08-16 12:40,101.37.79.125:3128
北京,101.132.122.230,80天,3128,0.379秒,0.075秒,18-08-16 12:40,101.132.122.230:3128
山东菏泽,113.122.12.129,12天,53128,0.496秒,0.099秒,18-08-16 12:31,113.122.12.129:53128
江苏无锡,221.228.17.172,102天,8181,6.462秒,1.292秒,18-08-16 12:30,221.228.17.172:8181
浙江杭州,183.129.244.17,15天,10010,0.317秒,0.063秒,18-08-16 12:22,183.129.244.17:10010
四川成都,218.88.22.252,6天,8118,0.339秒,0.067秒,18-08-16 12:21,218.88.22.252:8118
浙江杭州,122.235.169.198,9小时,8118,0.155秒,0.031秒,18-08-16 12:04,122.235.169.198:8118
浙江杭州,115.233.209.134,69天,3128,0.14秒,0.028秒,18-08-16 11:53,115.233.209.134:3128
山西太原,110.179.67.103,1小时,8123,1.758秒,0.351秒,18-08-16 11:50,110.179.67.103:8123
浙江杭州,183.129.207.74,70天,14823,1.211秒,0.242秒,18-08-16 11:46,183.129.207.74:14823
广西北海,121.31.176.57,1分钟,8123,6.626秒,1.325秒,18-08-16 11:33,121.31.176.57:8123
河南平顶山,1.194.178.186,1分钟,8010,0.785秒,0.157秒,18-08-16 11:33,1.194.178.186:8010
江苏南京,49.74.140.26,2小时,8123,0.155秒,0.031秒,18-08-16 11:30,49.74.140.26:8123
广东,119.147.211.60,1分钟,53281,0.882秒,0.176秒,18-08-16 11:22,119.147.211.60:53281
广西南宁,115.46.98.31,253天,8123,6.971秒,1.394秒,18-08-16 11:16,115.46.98.31:8123
广西桂林,182.91.132.11,1分钟,9999,0.208秒,0.041秒,18-08-16 11:11,182.91.132.11:9999
北京,114.113.126.83,175天,80,2.012秒,0.402秒,18-08-16 11:04,114.113.126.83:80
浙江杭州,183.129.207.73,70天,14823,0.417秒,0.083秒,18-08-16 11:01,183.129.207.73:14823
广东深圳,163.125.252.103,1小时,9797,0.184秒,0.036秒,18-08-16 11:00,163.125.252.103:9797
辽宁葫芦岛,175.165.129.102,1分钟,1133,0.262秒,0.052秒,18-08-16 10:56,175.165.129.102:1133
黑龙江哈尔滨,60.219.136.230,11天,53281,0.593秒,0.118秒,18-08-16 10:45,60.219.136.230:53281
云南,106.56.102.238,207天,808,0.929秒,0.185秒,18-08-16 10:33,106.56.102.238:808
浙江宁波,122.246.48.64,3天,8010,1.705秒,0.341秒,18-08-16 10:22,122.246.48.64:8010
广西南宁,115.46.77.124,1分钟,8123,7.081秒,1.416秒,18-08-16 09:45,115.46.77.124:8123
广西南宁,115.46.72.28,201天,8123,7.527秒,1.505秒,18-08-16 09:15,115.46.72.28:8123
江苏镇江,180.118.242.114,153天,61234,0.162秒,0.032秒,18-08-16 08:45,180.118.242.114:61234
四川成都,171.217.167.95,1分钟,1080,0.323秒,0.064秒,18-08-16 08:44,171.217.167.95:1080
重庆,113.251.223.5,1分钟,8123,5.102秒,1.02秒,18-08-16 08:22,113.251.223.5:8123
浙江温州,115.223.73.230,5分钟,8010,0.243秒,0.048秒,18-08-16 08:16,115.223.73.230:8010
浙江丽水,115.213.201.162,34天,8070,0.161秒,0.032秒,18-08-16 08:15,115.213.201.162:8070
广东珠海,59.38.60.155,234天,9797,7.938秒,1.587秒,18-08-16 08:11,59.38.60.155:9797
云南,106.56.102.114,39分钟,8070,0.366秒,0.073秒,18-08-16 08:01,106.56.102.114:8070
江苏扬州,221.229.18.33,395天,808,4.197秒,0.839秒,18-08-16 07:55,221.229.18.33:808
广西防城港,121.31.100.175,1分钟,8123,3.886秒,0.777秒,18-08-16 07:33,121.31.100.175:8123
云南,106.56.102.51,39天,8070,3.339秒,0.667秒,18-08-16 07:22,106.56.102.51:8070
辽宁葫芦岛,175.148.77.245,1分钟,1133,3.054秒,0.61秒,18-08-16 07:11,175.148.77.245:1133
江苏苏州,121.228.238.202,2小时,808,3.277秒,0.655秒,18-08-16 06:56,121.228.238.202:808
北京,180.76.187.102,1分钟,1080,1.094秒,0.218秒,18-08-16 06:45,180.76.187.102:1080
浙江金华,115.210.73.71,4分钟,8010,0.168秒,0.033秒,18-08-16 06:15,115.210.73.71:8010
湖北武汉市武昌区,221.232.194.43,1分钟,8010,0.241秒,0.048秒,18-08-16 05:55,221.232.194.43:8010
广东东莞,61.145.182.27,1小时,53281,0.193秒,0.038秒,18-08-16 05:50,61.145.182.27:53281
浙江丽水,60.184.172.175,86天,8070,0.193秒,0.038秒,18-08-16 05:40,60.184.172.175:8070
浙江温州,115.223.84.153,61天,8010,4.206秒,0.841秒,18-08-16 05:30,115.223.84.153:8010
广西南宁,182.88.14.151,47分钟,8123,0.18秒,0.036秒,18-08-16 05:20,182.88.14.151:8123
广西南宁,182.88.163.81,27分钟,8123,5.895秒,1.179秒,18-08-16 05:11,182.88.163.81:8123
江苏无锡,114.225.169.215,108天,53128,0.138秒,0.027秒,18-08-16 05:10,114.225.169.215:53128
